Population,Total Population,Females,Males,Married Females,Married Males,Girls,Boys
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,5,5
10,10,5,5,0,0,0,0
10,10,5,5,0,0,0,0
10,10,5,5,0,0,0,0
10,10,5,5,0,0,0,0
10,10,5,5,5,5,0,0
10,10,5,5,5,5,0,0
10,10,5,5,5,5,0,0
10,10,5,5,3,3,0,0
10,10,5,5,3,3,0,0
10,10,5,5,3,3,0,0
10,10,5,5,3,3,0,0
10,10,5,5,3,3,0,0
11,11,5,6,3,3,0,1
12,12,5,7,2,2,0,2
13,13,5,8,2,2,0,3
13,13,5,8,1,1,0,3
13,13,5,8,1,1,0,3
13,13,5,8,0,0,0,3
14,14,5,9,0,0,0,4
14,14,5,9,0,0,0,4
14,14,5,9,0,0,0,4
15,15,5,10,0,0,0,5
15,15,5,10,0,0,0,5
16,16,5,11,0,0,0,6
19,19,7,12,0,0,2,7
19,19,7,12,0,0,2,7
19,19,7,12,0,0,2,7
19,19,7,12,0,0,2,7
19,19,7,12,0,0,2,7
19,19,7,12,0,0,2,6
19,19,7,12,0,0,2,5
19,19,7,12,0,0,2,4
19,19,7,12,0,0,2,4
19,19,7,12,0,1,2,4
19,19,7,12,0,2,2,4
19,19,7,12,0,3,2,3
20,20,8,12,0,3,3,3
20,20,8,12,0,3,3,3
21,21,8,13,0,3,3,3
21,21,8,13,0,4,3,3
21,21,8,13,0,4,3,2
22,22,8,14,0,4,1,2
22,22,8,14,0,5,1,2
22,22,8,14,0,5,1,2
